"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (200,ma,0)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","RSI ‌rsi‌ (14)"
"Fri Sep 02 2022 15:20:00 GMT+0530 (India Standard Time)","17537.70","17546.60","17532.55","17539.25","0.01","0.01","0","17566.16","17589.40","17581.13","37.82"
"Fri Sep 02 2022 15:25:00 GMT+0530 (India Standard Time)","17538.55","17539.40","17520.20","17527.85","-0.06","-0.06","0","17566.06","17589.35","17581.13","34.15"
"Mon Sep 05 2022 09:15:00 GMT+0530 (India Standard Time)","17546.45","17616.00","17546.45","17612.00","0.48","0.48","0","17567.64","17589.71","17579.06","62.82"
"Mon Sep 05 2022 09:20:00 GMT+0530 (India Standard Time)","17613.35","17614.60","17582.45","17599.00","-0.07","-0.07","0","17568.99","17589.97","17550.63","58.58"
"Mon Sep 05 2022 09:25:00 GMT+0530 (India Standard Time)","17599.95","17608.05","17571.20","17594.70","-0.02","-0.02","0","17570.51","17590.18","17550.63","57.20"
"Mon Sep 05 2022 09:30:00 GMT+0530 (India Standard Time)","17594.80","17632.20","17591.55","17631.55","0.21","0.21","0","17572.86","17590.64","17550.63","64.83"
"Mon Sep 05 2022 09:35:00 GMT+0530 (India Standard Time)","17631.45","17639.20","17619.65","17626.95","-0.03","-0.03","0","17574.59","17591.01","17563.55","63.31"
"Mon Sep 05 2022 09:40:00 GMT+0530 (India Standard Time)","17626.75","17646.10","17625.30","17637.80","0.06","0.06","0","17576.60","17591.48","17563.55","65.37"
"Mon Sep 05 2022 09:45:00 GMT+0530 (India Standard Time)","17638.80","17640.50","17619.90","17621.60","-0.09","-0.09","0","17578.25","17591.85","17570.49","59.96"
"Mon Sep 05 2022 09:50:00 GMT+0530 (India Standard Time)","17622.15","17638.55","17608.85","17637.55","0.09","0.09","0","17580.18","17592.23","17570.49","63.19"
"Mon Sep 05 2022 09:55:00 GMT+0530 (India Standard Time)","17638.75","17643.70","17630.45","17634.50","-0.02","-0.02","0","17581.89","17592.56","17570.49","62.16"
"Mon Sep 05 2022 10:00:00 GMT+0530 (India Standard Time)","17634.35","17641.65","17631.95","17638.60","0.02","0.02","0","17583.45","17592.91","17570.49","63.03"
"Mon Sep 05 2022 10:05:00 GMT+0530 (India Standard Time)","17638.90","17652.40","17636.90","17652.35","0.08","0.08","0","17585.39","17593.26","17573.65","65.88"
"Mon Sep 05 2022 10:10:00 GMT+0530 (India Standard Time)","17653.45","17657.55","17645.50","17648.15","-0.02","-0.02","0","17587.15","17593.61","17588.28","64.25"
"Mon Sep 05 2022 10:15:00 GMT+0530 (India Standard Time)","17648.85","17654.10","17642.05","17642.05","-0.03","-0.03","0","17588.61","17593.87","17588.28","61.86"
"Mon Sep 05 2022 10:20:00 GMT+0530 (India Standard Time)","17642.25","17657.15","17641.80","17653.00","0.06","0.06","0","17590.23","17594.18","17588.28","64.42"
"Mon Sep 05 2022 10:25:00 GMT+0530 (India Standard Time)","17653.20","17657.25","17649.90","17653.75","0","0","0","17592.00","17594.47","17592.26","64.60"
"Mon Sep 05 2022 10:30:00 GMT+0530 (India Standard Time)","17653.15","17654.60","17638.25","17653.50","0","0","0","17593.96","17594.76","17594.85","64.48"
"Mon Sep 05 2022 10:35:00 GMT+0530 (India Standard Time)","17653.20","17653.20","17632.20","17632.20","-0.12","-0.12","0","17595.25","17594.92","17595.07","55.50"
"Mon Sep 05 2022 10:40:00 GMT+0530 (India Standard Time)","17632.50","17646.90","17630.35","17640.00","0.04","0.04","0","17596.77","17595.02","17595.07","57.81"
"Mon Sep 05 2022 10:45:00 GMT+0530 (India Standard Time)","17641.00","17650.00","17640.80","17647.00","0.04","0.04","0","17598.29","17595.17","17595.07","59.84"
"Mon Sep 05 2022 10:50:00 GMT+0530 (India Standard Time)","17647.05","17649.90","17641.15","17641.15","-0.03","-0.03","0","17599.57","17595.27","17595.07","57.36"
"Mon Sep 05 2022 10:55:00 GMT+0530 (India Standard Time)","17641.05","17641.95","17625.25","17626.75","-0.08","-0.08","0","17600.67","17595.25","17595.07","51.69"
"Mon Sep 05 2022 11:00:00 GMT+0530 (India Standard Time)","17627.40","17633.75","17618.70","17628.80","0.01","0.01","0","17601.68","17595.24","17595.07","52.41"
"Mon Sep 05 2022 11:05:00 GMT+0530 (India Standard Time)","17629.65","17643.35","17628.15","17642.50","0.08","0.08","0","17602.81","17595.28","17595.07","57.03"
